operator_id,operator_name,operator_email,operator_phone,operator_website,consolidated_name,duplicate_count,all_ids,is_generic
ABR944808026742,ABA GmbH ＆ Co. KG,,0873393885112,,ABA GmbH ＆ Co. KG,1,ABR944808026742,False
ABR966383148459,ABA Industriegebiet GmbH,aba-gmbh@tazv.de,+4933645599551,,ABA Industriegebiet GmbH,1,ABR966383148459,False
ABR998049329162,ABIS Nemt GmbH ＆ Co. KG,info@landgut-nemt.de,03425 - 851818,http://www.landgut-nemt.de,ABIS Nemt GmbH ＆ Co. KG,1,ABR998049329162,False
ABR965621559897,ABO Kraft ＆ Wärme Ettinghausen GmbH ＆ Co. KG,,,,ABO Kraft ＆ Wärme Ettinghausen GmbH ＆ Co. KG,1,ABR965621559897,False
ABR999922920353,ABO Kraft ＆ Wärme Friedland GmbH,florian.dahl@abo-kuw.de,0611 9500 91 25,https://www.abo-kuw.de/,ABO Kraft ＆ Wärme Friedland GmbH,1,ABR999922920353,False
ABR970887037799,ABO Kraft ＆ Wärme Hilscheid GmbH ＆ Co. KG,florian.dahl@abo-kuw.de,0611 95009125,https://www.abo-kuw.de/,ABO Kraft ＆ Wärme Hilscheid GmbH ＆ Co. KG,1,ABR970887037799,False
ABR936561536606,ABO Kraft ＆ Wärme Neulewin I GmbH,florian.dahl@abo-kuw.de,0611 95009125,https://www.abo-kuw.de/,ABO Kraft ＆ Wärme Neulewin I GmbH,1,ABR936561536606,False
ABR907661328668,ABO Kraft ＆ Wärme Neulewin II GmbH,florian.dahl@abo-kuw.de,0611 95009125,https://www.abo-kuw.de/,ABO Kraft ＆ Wärme Neulewin II GmbH,1,ABR907661328668,False
ABR945986075188,ABO Kraft ＆ Wärme Ramstein GmbH＆ Co. KG,daniel.grohganz@abo-wind.de,061126765637,,ABO Kraft ＆ Wärme Ramstein GmbH＆ Co. KG,1,ABR945986075188,False
ABR909270502798,ABO Kraft ＆ Wärme Storkow GmbH,florian.dahl@abo-kuw.de,0611 95009125,https://www.abo-kuw.de/,ABO Kraft ＆ Wärme Storkow GmbH,1,ABR909270502798,False
ABR914723978242,ABO Kraft ＆ Wärme Zülpich GmbH ＆ Co. KG,,,,ABO Kraft ＆ Wärme Zülpich GmbH ＆ Co. KG,1,ABR914723978242,False
ABR957694252089,AC Biogasanlage Beckedorf GmbH,info@energielenker.de,025127601101,www.energielenker.de,AC Biogasanlage Beckedorf GmbH,1,ABR957694252089,False
ABR982413736762,ACD Bioenergie GmbH,acd-bioenergie@freenet.de,095622146,,ACD Bioenergie GmbH,1,ABR982413736762,False
ABR971178144684,AD Strom ＆ Wärme GmbH  ＆ Co.KG,,05952692,,AD Strom ＆ Wärme GmbH ＆ Co.KG,1,ABR971178144684,False
ABR965540310159,ADA GbR,reinhard_adacker@yahoo.de,016090642378,,ADA GbR,1,ABR965540310159,False
ABR974290056941,ADAP Biogas GmbH,info@adap-biogas.de,038225/51501,www.adap-biogas.de,ADAP Biogas GmbH,1,ABR974290056941,False
ABR954349058539,ADAPRinderzucht GmbH,,,,ADAPRinderzucht GmbH,1,ABR954349058539,False
ABR909423293412,ADC - GmbH,info@adc-gmbh.info,037322527780,,ADC - GmbH,1,ABR909423293412,False
ABR953327601378,ADE Steinborn Gmbh,martin.steinborn@t-online.de,03524881601,,ADE Steinborn Gmbh,1,ABR953327601378,False
ABR980815821468,ADM Hamburg Aktiengesellschaft,benedikt.paschke@adm.com,04075194380,,ADM Hamburg Aktiengesellschaft,1,ABR980815821468,False
ABR987595576502,ADM Wild Europe GmbH ＆Co.KG,info@wild.de,+49 6221 799 0,www.wildflavors.com,ADM Wild Europe GmbH ＆Co.KG,1,ABR987595576502,False
ABR909733151266,ADRW NaturPower GmbH ＆ Co. KG,a.dering@mr-rheinland-west.de,02463-905988,,ADRW NaturPower GmbH ＆ Co. KG,1,ABR909733151266,False
ABR901888850636,AEP Putbus GmbH,,,,AEP Putbus GmbH,1,ABR901888850636,False
ABR976815057662,AER GmbH ＆ Co. KG,mario.reck@agrarenergie-ratzenried.de,01781347100,,AER GmbH ＆ Co. KG,1,ABR976815057662,False
ABR930310967154,AES GmbH,,,,AES GmbH,1,ABR930310967154,False
ABR941296416758,AEV Biogasanlage Nauen GmbH ＆ Co. KG,koeneke@mdp-group.com,03321-48568,,AEV Biogasanlage Nauen GmbH ＆ Co. KG,1,ABR941296416758,False
ABR914927235325,AF EllertmannGmbH＆Co.KG,Ellertmann-Landwirtschaft@gmx.net,015119652172,,AF EllertmannGmbH＆Co.KG,1,ABR914927235325,False
ABR949679078500,AG Krusemark eG,ag.krusemark.eg@t-online.de,03939481235,,AG Krusemark eG,1,ABR949679078500,False
ABR973384330608,AGD Agrar GmbH Dorfilm,r.seidl@agd-dorfilm.de,03674322720,,AGD Agrar GmbH Dorfilm,1,ABR973384330608,False
ABR937200965788,AGE Kleinjena GmbH ＆ Co. KG,,,,AGE Kleinjena GmbH ＆ Co. KG,1,ABR937200965788,False
ABR962538546095,AGG Agrargenossenschaft eG Großenstein,info@agg-grossenstein.de,03660222443,,AGG Agrargenossenschaft eG Großenstein,1,ABR962538546095,False
ABR991647897378,AGH Agrargesellschaft Herpf mbH,post@agrar-herpf.de,03693505080,www.agrar-herpf.de,AGH Agrargesellschaft Herpf mbH,1,ABR991647897378,False
ABR993731246413,AGIL Bioenergie GmbH ＆ Co. KG,wilhelm@heerdes.de,05832/1640,,AGIL Bioenergie GmbH ＆ Co. KG,1,ABR993731246413,False
ABR961191914012,AGJ AgrargesellschaftmbH Jüchsen,agjmbh@web.de,036947 51218,,AGJ AgrargesellschaftmbH Jüchsen,1,ABR961191914012,False
ABR925953212693,AGM Stürmer + Ziegler GbR,at-stuermer@t-online.de,,,AGM Stürmer + Ziegler GbR,1,ABR925953212693,False
ABR985092809840,AGN Agrargesellschaft mbH Neunheilingen,,,,AGN Agrargesellschaft mbH Neunheilingen,1,ABR985092809840,False
ABR931632523189,AGPRO Agrarprodukt Rothenburg GmbH,agpro@t-online.de,03589135132,,AGPRO Agrarprodukt Rothenburg GmbH,1,ABR931632523189,False
ABR967341150460,AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH,presse@agr.de,02366/300-0,www.agr.de,AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH,1,ABR967341150460,False
ABR953764343565,AGRAR ENERGIEN SOTTRUM GmbH ＆ Co. KG,herbert.cordes@ewetel.net,01716865576,,AGRAR ENERGIEN SOTTRUM GmbH ＆ Co. KG,1,ABR953764343565,False
ABR998573881921,AGRAR GmbH Bliesdorf,,,,AGRAR GmbH Bliesdorf,1,ABR998573881921,False
ABR914974731764,AGRAR GmbH Krahne,tabbert-ag-krahne@t-online.de,033835 6070,,AGRAR GmbH Krahne,1,ABR914974731764,False
ABR929790086189,AGRAR Produktionsgesellschaft Bösdorf/Lockstedt mbH,agrarboesdorf@wobline.de,039057 2328,,AGRAR Produktionsgesellschaft Bösdorf/Lockstedt mbH,1,ABR929790086189,False
ABR953589808607,AGRAR eG Münchenbernsdorf,info@agrar-eg.de,036604/8690,www.agrar-eg.de,AGRAR eG Münchenbernsdorf,1,ABR953589808607,False
ABR911299802674,AGRARENERGIE Thoma GmbH,,,,AGRARENERGIE Thoma GmbH,1,ABR911299802674,False
ABR941901343691,AGRICOLA Agrarverwaltungsgesellschaft mbH ＆ Co. KG,,,,AGRICOLA Agrarverwaltungsgesellschaft mbH ＆ Co. KG,1,ABR941901343691,False
ABR966155541327,AGRO-Agrarprodukte GmbH,daniel.naether@methauer-agro-ag.de,0373828470,,AGRO-Agrarprodukte GmbH,1,ABR966155541327,False
ABR960692531544,AGRO-Produkt GmbH,info@agro-produkt.de,037293/242,www.agro-produkt.de,AGRO-Produkt GmbH,1,ABR960692531544,False
ABR958771861668,AGROKLI Verwaltungs- und DienstleistungsGmbH,a.stuermer@agrar-ffo.de,033563346,,AGROKLI Verwaltungs- und DienstleistungsGmbH,1,ABR958771861668,False
ABR946167505654,AGROPRODUKT Sonneberg e.G.,agroprodukt@t-online.de,+49 367647950,,AGROPRODUKT Sonneberg e.G.,1,ABR946167505654,False
ABR955265213651,AGT Agrarproduktion GmbH Triglitz,agt_triglitz@t-online.de,033981 / 80256,,AGT Agrarproduktion GmbH Triglitz,1,ABR955265213651,False
ABR979149678800,AHVG-Allgemeine Handels- und Verwaltungsgesellschaft für die Landwirtschaft mbH,info@wmagrar.de,034656/5496-0,,AHVG-Allgemeine Handels- und Verwaltungsgesellschaft für die Landwirtschaft mbH,1,ABR979149678800,False
ABR928638523732,AHW-Wiesloch (Abwasser- u. Hochwasserschutzverband Wiesloch),g.gaertner@ahw-wiesloch.de,06222/5706-82,www.ahw-wiesloch.de,AHW-Wiesloch (Abwasser- u. Hochwasserschutzverband Wiesloch),1,ABR928638523732,False
ABR931389850927,AIG Agrar-Investment GmbH ＆ Co. KG,agrar-investment@web.de,,,AIG Agrar-Investment GmbH ＆ Co. KG,1,ABR931389850927,False
ABR996653447500,AJP Agrarenergie GmbH,purkagrar@gmail.com,059641555,,AJP Agrarenergie GmbH,1,ABR996653447500,False
ABR988757026330,AJPnaturenergie KG,purkagrar@web.de,059641555,,AJPnaturenergie KG,1,ABR988757026330,False
ABR990326587739,AK-Biogas GmbH ＆ Co. KG,,,,AK-Biogas GmbH ＆ Co. KG,1,ABR990326587739,False
ABR927792621278,AKG Agrar Kompost GmbH,info@agrarkompost.de,09127/9056800,www.agrarkompost.de,AKG Agrar Kompost GmbH,1,ABR927792621278,False
ABR911182413468,AKG Agrargesellschaft ＆ Kornbrennerei mbH,,,,AKG Agrargesellschaft ＆ Kornbrennerei mbH,1,ABR911182413468,False
ABR911649348470,AKK Biogas,josef-abeln@web.de,04471/2231,,AKK Biogas,1,ABR911649348470,False
ABR926068315552,AKL Biogas GbR,,,,AKL Biogas GbR,1,ABR926068315552,False
ABR906344109433,AKRON Energie e.K. Inh. Andreas Kronschnabl,,,,AKRON Energie e.K. Inh. Andreas Kronschnabl,1,ABR906344109433,False
ABR981985231941,AKS Bioenergie Raken GmbH ＆ Co. KG,,,,AKS Bioenergie Raken GmbH ＆ Co. KG,1,ABR981985231941,False
ABR965420960917,ALBAGUT GmbH,,,,ALBAGUT GmbH,1,ABR965420960917,False
ABR910650474185,ALD Biogas Grünsfeld KG,info@lotharderr.de,09346/95134,,ALD Biogas Grünsfeld KG,1,ABR910650474185,False
ABR944824716924,ALTUS ＆ Friends Biogasbetriebsgesellschaft mbH ＆ Co. KG,info@tg-service-gmbh.de,04941 60497288,,ALTUS ＆ Friends Biogasbetriebsgesellschaft mbH ＆ Co. KG,1,ABR944824716924,False
ABR959459533242,AMF Bioenergie Marxheim GmbH ＆ Co. KG,amf-marxheim@gmx.de,09097223,,AMF Bioenergie Marxheim GmbH ＆ Co. KG,1,ABR959459533242,False
ABR988065992051,AMPERAX Energie GmbH,,,,AMPERAX Energie GmbH,1,ABR988065992051,False
ABR995758400441,APB Bioenergie GmbH ＆ Co. KG,info@luetenshof.com,04165 212543,,APB Bioenergie GmbH ＆ Co. KG,1,ABR995758400441,False
ABR930428603418,"APG e.G. ""Weideland""",a.richter@apg-weideland.de,03502362328,,"APG e.G. ""Weideland""",1,ABR930428603418,False
ABR996470737235,APROHA GmbH,info@aproha.de,0374214070,http://www.aproha.de,APROHA GmbH,1,ABR996470737235,False
ABR992070417898,ARA Bioenergie Brokenlande GmbH ＆ Co. KG,brokenlande@ara-co2.de,+4943271415991,www.ara-biogas.com,ARA Bioenergie Brokenlande GmbH ＆ Co. KG,1,ABR992070417898,False
ABR941961082301,ARA Biogas Brokenlande GmbH ＆ Co. KG,brokenlande@ara-co2.de,043271415991,www.ara-co2.de,ARA Biogas Brokenlande GmbH ＆ Co. KG,1,ABR941961082301,False
ABR937340332464,ARNHAR GmbH ＆ Co KG,,,,ARNHAR GmbH ＆ Co KG,1,ABR937340332464,False
ABR986972411580,ARTHRA Biogas,Stefan.Gelz@atr-landhandel.de,04541806288,,ARTHRA Biogas,1,ABR986972411580,False
ABR956517099344,ASG Spremberg GmbH,info@asg-spremberg.de,+49 3564 32980,https://www.asg-spremberg.de/,ASG Spremberg GmbH,1,ABR956517099344,False
ABR970157353338,ASS Erneuerbare Energien GmbH,pietzsch@agrar-starbach.de,03524267794,,ASS Erneuerbare Energien GmbH,1,ABR970157353338,False
ABR928380140805,ASVK Erste Energie,C.Aschenbeck@asvk.de,0421-52614711,,ASVK Erste Energie,1,ABR928380140805,False
ABR969083076565,ASVK Vierte Energie,info@asvk.de,0421-5228888,,ASVK Vierte Energie,1,ABR969083076565,False
ABR901216019858,ASVK Zweite Energie,info@asvk.de,0421-5228888,,ASVK Zweite Energie,1,ABR901216019858,False
ABR972501344191,ATG GmbH,b.graf@at-graf.de,01608512801,,ATG GmbH,1,ABR972501344191,False
ABR994099364566,AVA Abfallverwertung Augsburg Kommunalunternehmen,info@ava-augsburg.de,+49 - (0) 821 - 74 09 - 0,www.ava-augsburg.de,AVA Abfallverwertung Augsburg Kommunalunternehmen,1,ABR994099364566,False
ABR906330393983,AVEA GmbH ＆ Co.KG,ee@avea.de,0049226392946164,www.avea.de,AVEA GmbH ＆ Co.KG,1,ABR906330393983,False
ABR980688464922,AVG Abfallentsorgungs- und Verwertungsgesellschaft Köln mbH,info@avgkoeln.de,0221-221-7170-0,www.avgkoeln.de,AVG Abfallentsorgungs- und Verwertungsgesellschaft Köln mbH,1,ABR980688464922,False
ABR915481999111,AVG Kompostierung GmbH,info@avgkoeln.de,+49 221 7170  0,www.avgkoeln.de,AVG Kompostierung GmbH,1,ABR915481999111,False
ABR938338461852,AVGMI UG haftungsbeschränkt,avgmi@web.de,,,AVGMI UG haftungsbeschränkt,1,ABR938338461852,False
ABR959284761209,AVR BioGas GmbH,info@avr-biogas.de,072619310,www.avr-umweltservice.de,AVR BioGas GmbH,1,ABR959284761209,False
ABR943740203877,AVR Energie GmbH,info@avr-energie.de,07261931555,www.avr-energie.de,AVR Energie GmbH,1,ABR943740203877,False
ABR905440183989,AVR Kommunal AöR,steven.parstorfer@avr-energie.de,07261931278,www.avr-kommunal.de,AVR Kommunal AöR,1,ABR905440183989,False
ABR996877996150,AVU Aktiengesellschaft für Versorgungs-Unternehmen,info@avu.de,02332 73-123,www.avu.de,AVU Aktiengesellschaft für Versorgungs-Unternehmen,1,ABR996877996150,False
ABR985010604403,AWA Entsorgung GmbH,info@awa-gmbh.de,+49240387660,www.awa-gmbh.de,AWA Entsorgung GmbH,1,ABR985010604403,False
ABR915523079573,AWB Abfallwirtschaftsbetrieb Landkreis Uelzen,c.harms@landkreis-uelzen.de,058182864,,AWB Abfallwirtschaftsbetrieb Landkreis Uelzen,1,ABR915523079573,False
ABR918813869038,AWB Amtzeller Werk für Biogas GmbH,info@awb-amtzell.de,07520 923 685,,AWB Amtzeller Werk für Biogas GmbH,1,ABR918813869038,False
ABR901954133120,AWG Abfallwirtschaft Landkreis Calw,,,,AWG Abfallwirtschaft Landkreis Calw,1,ABR901954133120,False
ABR994977045624,AWG Donau-Wald mbH,info@awg.de,09903/920-0,www.awg.de,AWG Donau-Wald mbH,1,ABR994977045624,False
ABR997521789296,AWIGO Biomasse GmbH,arne.tiedemann@remondis.de,05475-9203-0,,AWIGO Biomasse GmbH,1,ABR997521789296,False
ABR959122608864,AWM Abfallwirtschaftsbetriebe Münster,bruegmann@awm.stadt-muenster.de,0251 6052-351,www.awm.stadt-muenster.de,AWM Abfallwirtschaftsbetriebe Münster,1,ABR959122608864,False
ABR944035454882,AWO Reha-Gut Kemlitz gGmbH,heiko.terno@awo-gut-kemlitz.de,0172 6035521,www.awo-gut-kemlitz.de,AWO Reha-Gut Kemlitz gGmbH,1,ABR944035454882,False
ABR900826302220,AWR Bioenergie GmbH,c.soehrmann@awr.de,04331 / 345-183,www.awr.de,AWR Bioenergie GmbH,1,ABR900826302220,False
ABR913791718378,AWS,info@aws-gw.de,0209 708-1970,www.aws-gw.de,AWS,1,ABR913791718378,False
ABR980898938695,AWT-Abfallwirtschaftszentrum Trittau GmbH ＆ Co.KG,info@awt-trittau.de,04154-7070270,www.awt-trittau.de,AWT-Abfallwirtschaftszentrum Trittau GmbH ＆ Co.KG,1,ABR980898938695,False
ABR917355848204,AZF Bioenergie GmbH Breitenau,info@agrozuchtfarm.de,037292/29112,,AZF Bioenergie GmbH Breitenau,1,ABR917355848204,False
ABR991422342505,AZV Abwasserverband Stockacher Aach,,07771 / 802 - 0,,AZV Abwasserverband Stockacher Aach,1,ABR991422342505,False
ABR932937861105,AZV Erdinger Moos,bauer@azv-em.de,08122498750,azv-em.de,AZV Erdinger Moos,1,ABR932937861105,False
ABR984073081558,AZV Südholstein,joerg.may@azv.sh,04103 964 0,www.azv.sh,AZV Südholstein,1,ABR984073081558,False
ABR918174496676,Aalberts Biogas GmbH ＆ Co.KG,,03873720427,,Aalberts Biogas GmbH ＆ Co.KG,1,ABR918174496676,False
ABR934517394744,Aalberts-Krap GmbH,,,,Aalberts-Krap GmbH,1,ABR934517394744,False
ABR999339433897,Abele Biogas GbR,abele.edmund@gmail.com,073665428,,Abele Biogas GbR,1,ABR999339433897,False
ABR924988879642,Aben Recycling BV,aben@abenbv.nl,0031 485 451985,www.abenbv.nl,Aben Recycling BV,1,ABR924988879642,False
ABR938973455681,Abfall-Wirtschafts-Service GmbH,info@aws-service.com,06152/7119-0,www.aws-service.com,Abfall-Wirtschafts-Service GmbH,1,ABR938973455681,False
ABR940720920076,AbfallWirtschaftsGesellschaft mbH,hoerner@awg-bassum.de,04241801171,www.awg-bassum.de,AbfallWirtschaftsGesellschaft mbH,1,ABR940720920076,False
ABR951059835795,Abfallbeseitigungs-GmbH Lippe,service@abfall-lippe.de,0526194870,www.abfall-lippe.de,Abfallbeseitigungs-GmbH Lippe,1,ABR951059835795,False
ABR928831231595,Abfallentsorgungsverband Schwarze Elster,b.dutschmann@schwarze-elster.de,03574 46 77 101,www.schwarze-elster.de,Abfallentsorgungsverband Schwarze Elster,1,ABR928831231595,False
ABR906342863399,Abfallverbrennungs- und Biokompost-Gesellschaft mbH,teuscher@gab-umweltservice.de,04120/709-0,www.gab-umweltservice.de,Abfallverbrennungs- und Biokompost-Gesellschaft mbH,1,ABR906342863399,False
ABR981438761810,Abfallwirtschaft GmbH Halle-Lochau,Post@aw-halle.de,0345/58173-0,www.aw-halle.de,Abfallwirtschaft GmbH Halle-Lochau,1,ABR981438761810,False
ABR994980798333,Abfallwirtschaft Rems-Murr AöR,info@awrm.de,07151-501950,www.awrm.de,Abfallwirtschaft Rems-Murr AöR,1,ABR994980798333,False
ABR951804890352,Abfallwirtschaft Rendsburg-Eckernförde GmbH,c.soehrmann@awr.de,04331 / 345-0,www.awr.de,Abfallwirtschaft Rendsburg-Eckernförde GmbH,1,ABR951804890352,False
ABR950469070116,Abfallwirtschaft Sachsen-Anhalt Süd - AöR,abfallwirtschaft@awsas.de,034445 223-0,www.awsas.de,Abfallwirtschaft Sachsen-Anhalt Süd - AöR,1,ABR950469070116,False
ABR999217168002,Abfallwirtschafts-GmbH Landkreis Bad Kissingen,awzkrahwinkler@ku-kg.de,+499704/9123-12,abfall-scout.de,Abfallwirtschafts-GmbH Landkreis Bad Kissingen,1,ABR999217168002,False
ABR900683424035,Abfallwirtschaftsbetrieb Landkreis Alzey-Worms,awb@alzey-worms.de,(06731) 408-0,www.kreis-alzey-worms.eu,Abfallwirtschaftsbetrieb Landkreis Alzey-Worms,1,ABR900683424035,False
ABR940030782197,Abfallwirtschaftsbetrieb Landkreis Bad Dürkheim,Bernd.Lache@kreis-bad-duerkheim.de,06322/9615520,www.kreis-bad-duerkheim.de,Abfallwirtschaftsbetrieb Landkreis Bad Dürkheim,1,ABR940030782197,False
ABR954839287135,Abfallwirtschaftsbetrieb Landkreis Bad Kreuznach,awbkh@kreis-badkreuznach.de,06718030,www.awb-bad-kreuznach.de,Abfallwirtschaftsbetrieb Landkreis Bad Kreuznach,1,ABR954839287135,False
ABR913564318644,Abfallwirtschaftsbetrieb Landkreis Emsland,info@awb-emsland.de,05931-44300,www.awb-emsland.de,Abfallwirtschaftsbetrieb Landkreis Emsland,1,ABR913564318644,False
ABR962845551454,Abfallwirtschaftsbetrieb Nationalparklandkreis Birkenfeld,info@egb-bir.de,06782-9989 0,www.egb-bir.de,Abfallwirtschaftsbetrieb Nationalparklandkreis Birkenfeld,1,ABR962845551454,False
ABR967760523029,Abfallwirtschaftsbetrieb des Landkreises Rastatt,r.krug@landkreis-rastatt.de,07222 381 5520,www.awb-landkreis-rastatt.de,Abfallwirtschaftsbetrieb des Landkreises Rastatt,1,ABR967760523029,False
ABR934752912550,Abfallwirtschaftsgesellschaft Landkreis Vechta mbH,c.nueske@awv-online.de,0444193250,www.awv-online.de,Abfallwirtschaftsgesellschaft Landkreis Vechta mbH,1,ABR934752912550,False
ABR911950018666,Abfallwirtschaftsgesellschaft Nordfriesland mbH,,,,Abfallwirtschaftsgesellschaft Nordfriesland mbH,1,ABR911950018666,False
ABR961167301624,Abfallwirtschaftsgesellschaft des Kreises Warendorf mbH,info@awg-waf.de,02524/93070,www.awg-waf.de,Abfallwirtschaftsgesellschaft des Kreises Warendorf mbH,1,ABR961167301624,False
ABR963594096890,Abfallwirtschaftsverband Chemnitz,info@awvc.de,0371/67407101,www.awvc.de,Abfallwirtschaftsverband Chemnitz,1,ABR963594096890,False
ABR991227601029,Abfallwirtschaftszentrum Rastorf GmbH ＆ Co. KG,info@awz-rastorf.de,04307 / 83670,www.awz-rastorf.de,Abfallwirtschaftszentrum Rastorf GmbH ＆ Co. KG,1,ABR991227601029,False
ABR997605056016,Abfallzweckverband Rhein-Mosel-Eifel Deponie Eiterköpfe,Bernd.Winter@azv-rme.de,01705526628,www.azv-rme.de,Abfallzweckverband Rhein-Mosel-Eifel Deponie Eiterköpfe,1,ABR997605056016,False
ABR939566998851,Abfallzweckverband Stadt und Landkreis Hof,info@azv-hof.de,09281725990,www.azv-hof.de,Abfallzweckverband Stadt und Landkreis Hof,1,ABR939566998851,False
ABR976799985173,Abfallzweckverband Südniedersachsen,info@as-nds.de,05504937930,as-nds.de,Abfallzweckverband Südniedersachsen,1,ABR976799985173,False
ABR906269982524,Abtei Bäuerliche AG,,,,Abtei Bäuerliche AG,1,ABR906269982524,False
ABR981667007840,Abtei Energie GmbH,,017611286310,,Abtei Energie GmbH,1,ABR981667007840,False
ABR968565943685,Abtei Münsterschwarzach / Vier-Türme GmbH,kontakt@abtei-muensterschwarzach.de,09324200,www.abtei-muensterschwarzach.de,Abtei Münsterschwarzach / Vier-Türme GmbH,1,ABR968565943685,False
ABR947750098416,Abtmeier Biogas Gbr,,,,Abtmeier Biogas Gbr,1,ABR947750098416,False
ABR914115803121,Abwasser Zweckverband Elz-Neckar.de,bertram.ter_horst@azv-elz-neckar.de,01624856640,,Abwasser Zweckverband Elz-Neckar.de,1,ABR914115803121,False
ABR917032352345,Abwasser Zweckverband Schmeietal,,,,Abwasser Zweckverband Schmeietal,1,ABR917032352345,False
ABR961308942099,"Abwasser, Grün ＆ Lüneburger Service GmbH",Zentrale@agl.lueneburg.de,0413185690,www.agl-lueneburg.de,"Abwasser, Grün ＆ Lüneburger Service GmbH",1,ABR961308942099,False
